# Open,High,Low,Volume,Close
3120,3300,3070,76625000,0.048043
3240,3300,3130,63760000,0.04656
3230,3240,3160,60430000,0.046856
3160,3380,3140,39455000,0.049674
3230,3420,3220,37855000,0.04997
3790,3870,3660,119910000,0.05605
3760,3920,3700,78135000,0.057829
3820,3910,3780,42295000,0.057533
3830,3860,3710,46280000,0.05694
3780,3810,3700,41235000,0.055012
3790,3790,3640,31410000,0.053974
3800,3890,3770,52900000,0.05694
3860,4020,3840,51460000,0.058126
3960,4200,3850,52065000,0.061388
4060,4240,4060,52570000,0.062574
4240,4530,4240,57685000,0.065243
4700,4700,4520,54245000,0.068209
4600,4600,4470,42250000,0.067467
4450,4480,3970,91025000,0.059015
4000,4100,3960,47245000,0.059609
4100,4170,4070,39350000,0.060943
4090,4400,4090,53045000,0.065243
4270,4420,4190,39730000,0.063316
4290,4390,4220,27330000,0.063612
4170,4200,3990,47135000,0.059757
3980,4020,3910,31545000,0.05946
3960,3990,3900,23130000,0.057829
3920,4060,3890,34685000,0.060202
4040,4100,3980,25230000,0.06035
3840,4050,3840,36110000,0.058867
4040,4100,3970,22295000,0.059015
3920,4040,3900,19710000,0.059015
4200,4210,4100,34930000,0.06124
4150,4310,4130,46375000,0.063019
4180,4210,4100,22880000,0.062129
4190,4280,4180,18175000,0.062871
4160,4200,4140,19500000,0.061684
4080,4100,3940,43605000,0.05946
3920,3970,3830,76855000,0.05694
3850,3860,3780,35665000,0.05694
3840,3940,3790,38695000,0.056198
3700,3780,3700,28715000,0.055457
3700,3700,3580,44500000,0.053529
3530,3720,3530,24620000,0.05516
3820,3850,3760,25500000,0.056346
3960,4010,3900,52640000,0.059312
3950,4010,3910,31360000,0.05946
3940,3940,3820,30800000,0.05694
3700,3760,3650,38610000,0.054419
3570,3650,3540,33815000,0.053974
3790,3930,3760,29370000,0.058126
3880,3920,3830,23315000,0.057681
3810,3880,3770,24865000,0.056346
3900,3920,3820,21455000,0.056643
3720,3900,3700,40550000,0.057384
3980,3990,3920,37465000,0.059015
4090,4370,4080,91755000,0.06376
4400,4430,4340,42870000,0.064354
4300,4310,4120,31345000,0.061536
4260,4260,4150,26075000,0.061536
4090,4180,4040,29920000,0.060647
4110,4170,4040,30100000,0.061684
4040,4100,3960,39140000,0.059164
3810,3870,3790,46070000,0.056346
3700,3740,3630,62280000,0.05427
3960,3960,3780,85290000,0.05694
3790,3810,3710,25840000,0.055012
3710,3740,3610,39175000,0.053974
3780,3800,3720,44515000,0.05516
3940,4090,3900,73660000,0.05946
4100,4150,4030,38840000,0.060202
4060,4080,3940,10200000,0.058422
3920,4020,3850,16815000,0.058867
4110,4280,4070,47790000,0.063464
4620,4920,4580,131305000,0.069692
4720,4780,4490,44905000,0.066578
4490,4610,4470,31785000,0.067319
4410,4420,4330,31185000,0.065243
4340,4520,4320,26345000,0.067023
4340,4520,4320,26345000,0.067023
